Q No.,CAT TAGS,QUESTION,A,B,C,D,CORRECT OPTION
181,19: Ethical framework for health research,Review of health records for research does not require approval of institute ethics committee,TRUE,FALSE,,,B
182,19: Ethical framework for health research,A participant enrolled in a study wants to withdraw from the study half way through the study. Which of the following principles of ethics entitles him/her to do so?,Autonomy,Justice,Beneficence,Non-maleficence,A
183,19: Ethical framework for health research,Which of the following does NOT describe ethical principles in research?,Nuremberg code,Helsinki declaration,Council for International Organization and Medical Sciences,Bhore report,D
184,19: Ethical framework for health research,"When a research study is planned among adolescents (12-18 years), the following is NOT taken?",Assent from participant,Consent from participant,Consent from parent,Consent from legally accepted representative,B
185,19: Ethical framework for health research,Non-Maleficence means-,Self-respect,Do no harm,Fair and correct,Doing good,B
186,19: Ethical framework for health research,"State whether true or false. Once a participant has provided informed consent, it cannot be changed.",TRUE,FALSE,,,B
187,19: Ethical framework for health research,NOT a part of informed consent process?,Confidentiality,Disclosure of risks and benefits,Compensation for lost wages,Encouraging the person to consent,D
188,19: Ethical framework for health research,Which of the following statement is NOT correct?,Compensation for participants is offered for trial related injury,Research participants can be paid for travel expenses,Payment can be offered to encourage participation,Wage loss of the participants can be compensated,C
189,19: Ethical framework for health research,Which of the following is NOT a responsibility of the Institutional Ethics Committee?,Evaluate the potential benefit from the study to the community,Protect the rights of the study participants,Sanction funding for the study,Re-evaluate the study if and when modified,C
190,19: Ethical framework for health research,"When a particular ethnic group is excluded from a research study without any valid, scientific reason(s), this is breach of -",Autonomy,Justice,Beneficence,Non maleficence,B
191,20: Conducting clinical trials,State whether true or false. The scientific advisory committee examines the safety and welfare of the research participants in a trial.,TRUE,FALSE,,,B
192,20: Conducting clinical trials,"If the project is getting funded internationally, which of the following committees looks at the regulatory affairs?",Health ministry screening committee,Genetic engineering approval committee,Ethics committee,All the above,A
193,20: Conducting clinical trials,"State whether true or false. In order for a clinical trial to be ethically appropriate, participants must give their informed voluntary consent.",TRUE,FALSE,,,A
194,20: Conducting clinical trials,Which of the following is FALSE with regard to data analysis in clinical trials?,Baseline characteristics of participants should be compared across study arms,Interim analysis can be performed if pre-stated in the protocol,Analyses in clinical trials are only descriptive in nature,People who are lost to follow up can be included in the analysis,C
195,20: Conducting clinical trials,Which of the following is FALSE when dealing with serious adverse events in a clinical trial?,Making provision for free treatment,Informing the regulatory authorities,Taking action only if 1% are affected by the adverse events,Withdrawing the implicated intervention for the affected,C
196,20: Conducting clinical trials,A trial can be pre-maturely stopped if,A significant unanticipated risk is demonstrated,The investigators lose interest,The principal investigator retires,Minor adverse events are reported,A
197,20: Conducting clinical trials,Data Safety Monitoring Body (DSMB) is primarily responsible for which of the following: ,Periodically review and evaluate the accumulated study data for participant safety,Periodically review and evaluate the study conduct and progress,"Make recommendations concerning the continuation, modification, or termination of a clinical trial",All of the above,D
198,20: Conducting clinical trials,Which of the following is NOT an advantage of a Randomized Controlled Trial?,Controls for confounding bias effectively,Provides high level of evidence,Can be conducted in the community or hospital,Blinding in trial eliminates selection bias,D
199,20: Conducting clinical trials,Which of the following statement is FALSE with regards to a Randomized Controlled Trial?,Adverse events should be reported to the Data Safety Monitoring Board,Trial related documents must be archived after the trial is over,Drug trials ideally should have a pre-defined stoppage rule,Ethics committee clearance cannot be withdrawn after initial approval,D
200,20: Conducting clinical trials,State whether true or false. It is unethical to use a placebo for the control arm instead of the current standard of care in a clinical trial.,TRUE,FALSE,,,A
201,21: Preparing a concept paper for research projects,Which of the following is NOT included in the background section of a concept paper?,Importance of a health problem,Known fact about the health problem,Prior contribution of the researcher in the topic,Knowledge gap in that topic,C
202,21: Preparing a concept paper for research projects,The methods section of the concept paper outlines the following:,Key operational definitions,Conclusions,Context of study,Novelty of the study,A
203,21: Preparing a concept paper for research projects,Which of the following best describes the ‘Expected Benefits’ section of a concept paper?,Financial benefit to the funding agency,Policy/practice changes based on the study findings,Financial benefit to the researcher,Academic improvement of the researchers,B
204,21: Preparing a concept paper for research projects,Which of the following are components of a concept paper?,Study title and references,"Study title, Abstract and references",Abstract and references,"Study title, results and references",A
205,21: Preparing a concept paper for research projects,Sampling strategy is discussed in which of the following section of a concept paper?,Background,Objectives,Methodology,Results,C
206,21: Preparing a concept paper for research projects,Which of the following statement is true about the ‘Reference’ section of a concept paper?,References must be written following standard guidelines,Unlimited references are preferred in a concept paper,Reference section is usually an optional component,References are usually required for the methods section,A
207,21: Preparing a concept paper for research projects,"A post graduate has mentioned the estimated budget for her thesis to be 50,000 INR in the concept paper. Which of the following components of the budget may not be justified?",Salary for data collectors,Travel cost for data collection,Equipment cost,Remuneration for the thesis guide,D
208,21: Preparing a concept paper for research projects,Identify the INCORRECT statement about protocol writing?,A protocol is a must for obtaining the ethics committee approval,A well-written protocol is often helpful to draft a one-page concept proposal,All known facts in a protocol must be supported by appropriate references,Peer review helps in improving the quality of a protocol,B
209,21: Preparing a concept paper for research projects,"All the following are recommended while writing a concept paper, EXCEPT-",Preparing a concise document,Presenting mostly in bullet forms,Describing the results in detail,Restricting the number of objectives,C
210,21: Preparing a concept paper for research projects,Which of the following is a consideration in framing the objectives of a concept paper?,Choosing appropriate action verbs,Calculating sample size based on the secondary objectives,Stating broad objectives,All the above,A
211,22: Elements of a protocol for research studies,Which of the following is NOT an appropriate step of protocol development?,Development of research question,Preparation of the analysis plan,Development of study tool,Initiation of data collection,D
212,22: Elements of a protocol for research studies,"In which of the following section of a protocol, is the analysis plan written?",Objective,Results,Budget,Methods,D
213,22: Elements of a protocol for research studies,State whether true or false. Study population and the study sample are same.,TRUE,FALSE,,,B
214,22: Elements of a protocol for research studies,Which of the following is CORRECT about operational definitions of a study protocol?,It is part of the background section,It spells out the key research gaps,It should be broad and non-specific,It may be supported by appropriate references,D
215,22: Elements of a protocol for research studies,Which of the following component is LEAST APPROPRIATE for a project implementation plan?,Calculating sample size,Coordinating project activities,Assigning job responsibilities,Preparing project timeline,A
216,22: Elements of a protocol for research studies,"Human subjects are protected by all the following mechanisms, EXCEPT-",Obtaining informed consent from the participants,Reviewing proposal by the ethics committee,Incentivizing target population for participation,Compensating participants for loss of wages,C
217,22: Elements of a protocol for research studies,Which section of a protocol describes the need to maintain anonymity of study participants while sharing data to others?,Human subject protection,Data collection methods,Data analysis plan,Expected benefits,A
218,22: Elements of a protocol for research studies,"In the methods section of a protocol, a researcher can include all the following, EXCEPT-",Analysis plan,Supportive reference,Expected benefits,Quality assurance,C
219,22: Elements of a protocol for research studies,The number of study participants required for a research study can be decided by-,Pilot study,Sample size calculation,Sampling procedure,All the above,D
220,22: Elements of a protocol for research studies,State whether true or false. Researchers can amend a research protocol after re-obtaining the ethics committee clearance for the amendments made.,TRUE,FALSE,,,A
221,23: Publication Ethics,Which of the following is TRUE regarding a clinical trial?,It is mandatory to register the trial under ‘Clinical Trials Registry of India’ after completing it.,Ethical issues are considerably low in clinical trials when compared with descriptive studies.,Informed consent is a must for recruiting a study participant in a clinical trial,Both ‘a’ and ‘c’,C
222,23: Publication Ethics,Altering the original data to obtain a statistically significant result by the researcher is known as,Fabrication,Falsification,Fascination,Fasciation,B
223,23: Publication Ethics,"All the following help in reducing ethical issues associated with research publication, EXCEPT-",Obtaining the institutional ethics committee permission,Including a guest author to improve the acceptance of the manuscript,Obtaining permission from the copyright holder to reproduce a figure,Declaring familial relationship between an author and the CEO of the funding agency,B
224,23: Publication Ethics,Which of the following is INCORRECT about publishing research finding?,Publication often helps in career progression and academic promotion,It is a way to communicate research findings with the peer groups,Conflicts of interest can be suppressed as it has implication in study findings,It identifies research gaps,C
225,23: Publication Ethics,State whether true or false. The first author is mostly responsible for addressing the comments received from the reviewers of the journal.,TRUE,FALSE,,,B
226,23: Publication Ethics,Submitting a manuscript to more than one journal at the same time is known as-,Duplicate publication,Self-citation,Simultaneous publication,Peer review,C
227,23: Publication Ethics,Which of the following is NOT a criterion for authorship?,Conceptualizing the original study,Drafting the manuscript,Agreeing to contribute during peer review process,Being departmental head,D
228,23: Publication Ethics,A Post Graduate in a medical college submitted a proposal to the ethics committee of the institute. The committee found that the proposal is a near copy of an earlier proposal from the same department. This act of the PG can be best termed as-,Fabrication,Falsification,Plagiarism,Breach of confidentiality,C
229,23: Publication Ethics,State whether true or false. Unpublished work must be acknowledged in a manuscript.,TRUE,FALSE,,,A
230,23: Publication Ethics,Direct or indirect influence of which of the following aspect is considered ‘conflict of interest’?,Financial,Personal,Social,All the above,D
231,0​​1: Introduction to health research,What is appropriate for sample and sample size?,Should be representative of the population[External validity or generalizability],Should be adequate [power to draw meaningful inferences],Both 'a' and 'b',Neither 'a' nor 'b',C
232,0​​1: Introduction to health research,Which of the following statements are correct regarding defining inclusion and exclusion criteria in a study protocol?,They should be vague because this will allow greater and easy enrolment,They should be very specific,They should be very large in number,It is not important to define exclusion criteria in a clinical trial,B
233,0​​1: Introduction to health research,Which of the following are examined as part of regulatory review?,Information regarding transfer of funds and utilization of funds,Shipment of samples and transfer of data outside the country,Sharing and protection of intellectual property,All of the above,D
234,0​​1: Introduction to health research,Which of the following statements is not true in case of pilot study?,They are conducted for developing and testing adequacy of research instruments,They establish whether the sampling frame and technique are effective,Ethics committee approves the main study only after successful completion of the pilot study,They are small scale studies,C
235,0​​1: Introduction to health research,"Before initiating a study involving primary data collection, the Principal Investigator must ensure that various approvals are obtained. Which of the following approvals is absolutely mandatory?",Scientific committee approval,Ethics committee approval,Technical committee approval,Regulatory authority approval,B
236,0​​1: Introduction to health research,Which is the best source of information on 'effect modifiers' while exploring cause and effect relationship in a research study?,Deductive thinking,Thorough review of literature,Intelligent guessing,Discussing with experienced researchers,B
237,0​​1: Introduction to health research,The policy makers want to know whether introduction of pentavalent vaccine in the national program is resulting in reduction in the number of Hemophilus influenza cases. Which of the following studies will they have to conduct to find an answer?,Case-control study,Field trial,Ecological study,Case series,B
238,0​​1: Introduction to health research,What is true about Confounders?,They affect both study variable as well as outcome,Their effect can be minimized by proper study design and through stratified analysis,Both 'a' and 'b',None of the above,C
239,0​​1: Introduction to health research,Which of the following is not a type of study design?,Qualitative study,Observational study,Retrospective study,Pilot study,D
240,0​​1: Introduction to health research,"Any systematic error in the design, conduct or analysis of a study that results in an erroneous estimate of an exposure's effect on the risk of disease is called:",Confounding,Bias,Interaction,Stratification,B
241,0​​1: Introduction to health research,Which of the following is not part of ethics review of a project?,Informed consent document and procedure,Competence of researcher and institute conducting research,Sharing and protection of intellectual property,Care and support during and after completion of research,C
242,0​​1: Introduction to health research,A study was conducted to assess the extrapyramidal side effects of a new antipsychotic drug in patients with schizophrenia. Many of these patients were smokers and some of them were on anticholinergic drugs. What was the role of the anticholinergic drugs in this study?,Confounder,Random Variable,Effect Modifier,Independent Variable,C
243,0​​1: Introduction to health research,"Before initiating a study involving primary data collection, the Principal Investigator must ensure that various approvals are obtained. Which of the following approvals is absolutely mandatory?",Scientific committee approval,Ethics committee approval,Technical committee approval,Regulatory authority approval,B
244,0​​1: Introduction to health research,The policy makers want to know whether introduction of a new rotavirus vaccine in the national immunization programme is resulting in reduction of morbidity and mortality from rotavirus disease. Which of the following studies will they have to conduct to find an answer?,Case-control study,Ecological study,Field randomized trial,Case-series,C
245,0​​1: Introduction to health research,What effect does increasing the sample size have upon the random error?,It increases the random error,It has no effect on the random error,It reduces the random error,None of the above,C
246,0​​1: Introduction to health research,Which of the following will best describe the scientific inquiry that seeks to understand the acceptability and functionality of a health program?,Basic science research,Translational research,Clinical research,Implementation research,D
247,0​​1: Introduction to health research,The following statements describe confounding and effect modification. Which of the statement is/are correct?,In a study of relationship between coffee drinking and oro-pharyngeal cancer; smoking is a confounder,"In a study to explore relationship between hepatitis B infection and post-infection hepatic sequelae, habit of alcohol drinking acts as an effect modifier and patients with this habit may be excluded from the study",‘a’ and ‘b’ Correct,‘a’ and ‘b’ Wrong,C
248,0​​1: Introduction to health research,Issues regarding shipment of samples and transfer of data outside the country are examined by:,Regulatory review,Ethics review,Scientific review,None,A
249,0​​1: Introduction to health research,Which of the following disciplines contribute to health research?,Bio-medical research,Biostatistics,Social science research,All of the above,D
250,0​​1: Introduction to health research,Which of the following best describes a study done in a laboratory setting using animals?,Translational research,Bench-based research,Theoretical research,Preventive research,B
251,0​​1: Introduction to health research,Which of the following review is NOT essential before initiating a clinical trial?,Scientific review,Peer review,Regulatory review,Ethics review,B
252,0​​1: Introduction to health research,Which of the following is NOT a type of study design?,Qualitative study,Observational study,Retrospective study,Translational study,D
253,0​​1: Introduction to health research,Which of the following statements is NOT correct regarding errors in a health research?,Random error is due to chance,Systematic error is due to bias,Random errors can be eliminated by improving study design,Bias distorts the study results in one direction,C
254,0​​1: Introduction to health research,State whether true or false. Assigning roles and responsibilities to the team members is one of the fundamental principles of a research,TRUE,FALSE,,,A
255,0​​1: Introduction to health research,Health research is usually focused on which of the following areas?,Estimation of disease burden in a population,Prevention of common diseases in the community,Evaluation of public health programs,All the above,D
256,0​​1: Introduction to health research,Which of the following is NOT a component of a research study?,Setting up the institute scientific committee,Calculating sample size,Development of a study tool,Framing the research question,A
257,0​​1: Introduction to health research,"A researcher wants to study the relationship between COVID-19 infection in pregnancy and birth weight. Currently, there is no evidence on this topic. Which of the following options is the scope of this health research?",Verifying and confirming known information,Getting additional or new information,Evaluating ongoing programs,All of the above,B
258,0​​1: Introduction to health research,Which of the following is NOT a critical consideration in planning a health research?,Adequate justification,Clear and focused research question,Standard case definitions,Financial gain,D
259,0​​1: Introduction to health research,Identify the CORRECT statement about implementation of a research,Research findings must be approved by the funder,Research finding must be error free,Adequate sample size is a prerequisite,Pilot study can be done during data analysis stage,C
260,02: Formulating research question,Which of the following is an element of life cycle of research?,Identify data needs and spell out the research question,Formulate the objective and design the study,Draw conclusion and give recommendation to stakeholders,All of the above,D
261,02: Formulating research question,Which of the following verbs is preferably used in the statement of objectives of an analytical research study?,Estimate,Determine,Study,Describe,B
262,02: Formulating research question,Source(s) of research question is/are,Published literature,Being alert to new ideas,Careful observation and teaching,All of the above,D
263,02: Formulating research question,Which of the following is stated mainly for statistical purpose?,Research question,Objectives,Research hypothesis,All of the above,C
264,02: Formulating research question,"If your objective is to estimate the prevalence of a health problem in a community in 2019, Identify the type of research question this study is addressing",Analytical research question,Descriptive research question,Hypothetical research question,Experimental research question,B
265,02: Formulating research question,What is the first step in the life cycle of research?,Spell out the research question,Formulate the objective of the study,Identify the data needs,Choose the study design,C
266,02: Formulating research question,A clear research question facilitates to do the following,Choose the most optimal design,Identify who should be included as study population,Specify the outcomes that should be measured,All of the above,D
267,02: Formulating research question,Which of the following statements is incorrect?,"A good research question should be Feasible, Interesting, Novel, Ethical and Relevant",A good research question should be in epidemiological terms,A good research question facilitates to choose optimal design,A good research question will focus on one issue,B
268,02: Formulating research question,"The verb ""estimate"" is used in the objective of analytical research studies",TRUE,FALSE,,,B
269,02: Formulating research question,"The process of refining the ""ideas"" into research questions begins with general uncertainty about a health issue and narrow down to a specific, concrete researchable issue",TRUE,FALSE,,,A
270,02: Formulating research question,Which of the following statement is incorrect about a good research question?,"Research question should advance scientific knowledge, improve practice, influence policy",Research question should be approved by the ethics committee,"Research question should confirms, refutes or extends previous findings",Feasibility should not be a criterion while developing research question,D
271,02: Formulating research question,All the following are characteristic of good research hypothesis EXCEPT,Research hypothesis should be simple,Research hypothesis should be devoid of any ambiguity about study participants and variables,Research hypothesis should be focused on primary objective,Research hypothesis should be written once the study is completed,D
272,02: Formulating research question,Which of the following verb is used in the statement of objective of a descriptive research study?,Estimate,Determine,Examine,Compare,A
273,02: Formulating research question,A research question states about what the results of the study might ultimately contribute to that particular field of science,TRUE,FALSE,,,B
274,02: Formulating research question,Purely descriptive research questions do not require a hypothesis,TRUE,FALSE,,,A
275,02: Formulating research question,"Identify the type of research question if the objective of a study is ""To determine the effect of tobacco cessation services on tuberculosis treatment outcomes among patients with tuberculosis under National Tuberculosis Elimination Program""?",Descriptive research question,Hypothetical research question,Analytical research question,Experimental research question,C
276,02: Formulating research question,As per the following objectives a hypothesis should be stated for which study?,To determine the association of maternal smoking during pregnancy with respiratory infectious disease morbidity and mortality in infants,To estimate the lifetime prevalence of mental health morbidities among elderly people in India,To describe the pattern of physical activity among school going children aged 6-18 years,"To describe the temporal and spatial trends of mortality due to cardiovascular diseases, by age and sex in India during 2009-2019",A
277,02: Formulating research question,All the following are components of 'FINER ' criteria for a research question EXCEPT,Feasible,Reliable,Novel,Ethical,B
278,02: Formulating research question,Which is the last step in the life cycle of research?,Spell out the research question,Formulate the objective of the study,Formulate recommendations,Choose the study design,C
279,02: Formulating research question,"The following are the steps in framing a research question. i.) Review of state-of-art information, ii.) Define measurable exposures & outcomes, iii.) Raise a question, iv.) Decide worth investigating by peer review. Choose the correct sequence of framing a research question from below.","I, II, III, IV","II, IV, III, I","I, III, IV, II","III, I, II, IV",C
280,02: Formulating research question,A clear research question is required in order to facilitate the following:,To choose an optimal study design,To identify the outcomes that need to be measured,To decide when the outcomes need to be measured,All the above,D
281,02: Formulating research question,"Characteristics of a good hypothesis are all, EXCEPT:",There should be no ambiguity about the study variables,It should be stated ‘a priori’,It can be revised based on the study findings,It should specify one exposure and one outcome,C
282,02: Formulating research question,Which of the following is NOT an ideal source of a research question?,Reviewing the published literature,Attending conferences where latest findings are shared,Observing keenly in the out-patient clinic,Mining existing datasets for research question,D
283,02: Formulating research question,Which of the following is TRUE for a ‘Descriptive Research Question’?,Involves observations to measure a quantity,Involves comparison groups,Tests the efficacy of interventions,Requires hypothesis testing,A
284,02: Formulating research question,Which of the following characteristics best describe a good research question?,"Feasible, Novel, Ethical","Feasible, Noble, Ethical","Ethical, Novel, Intuitive","Fantastic, Novel, Relevant",A
285,02: Formulating research question,State whether true or false. A research study is conducted to estimate the seroprevalence of COVID-19 in Ahmedabad city during April-June 2020. This is an example of analytical research question.,TRUE,FALSE,,,B
286,02: Formulating research question,Which of the following statement about study objective/s is FALSE?,Objectives are stated in scientific terms,Objectives can be primary and secondary,Each objective is written using multiple verbs,Objectives should be specific,C
287,02: Formulating research question,"In the life cycle of research, ‘spelling out the research question’ is followed by",Preparing data collection instrument,Formulating study objectives,Collecting data,Formulating recommendation,B
288,02: Formulating research question,How can the given study objective be improved? “To understand the anaemia in pregnancy”,Using appropriate action verb,Specifying the outcome measure,Specifying the study setting and time period,All the above,D
289,02: Formulating research question,Which of the following is NOT a step in framing an ideal research question?,Literature review,Peer review,Broadening the initial question,Defining measurable outcomes,C
290,03: Literature review,The ability to apply the principles of analysis to identify those studies which are unbiased and valid is called as,Critical appraisal,Information seeking,Information management,Systematic Review,A
291,03: Literature review,"A __________ is a collection of articles, abstracts, scientific proceedings, books, citations etc. that is organized so that it can easily be accessed while doing literature review",Database,Critical appraisal,Hard disk,Index,A
292,03: Literature review,Why should we need to do a literature review?,Save yourself from work,Know the subject matter better,"Suggest new research topics, questions and methods",All of the above,D
293,03: Literature review,The process of scanning the literature efficiently using manual or computerized methods to identify a set of potentially useful articles and books is called as,Information seeking,Critical appraisal,Database management,Information retrieval,A
294,03: Literature review,In the Boolean search strategy AND tells that database that you want records that contain all the words you specify,TRUE,FALSE,,,A
295,03: Literature review,Which of the following is unethical while writing a Literature Review?,The contents from the studies should be presented honestly,The contents from the studies should not be distorted,It is not necessary to address the weakness of the study in a scholarly manner,Sources should be accurately documented,C
296,03: Literature review,Critical appraisal is done in an organized and systematic manner,TRUE,FALSE,,,A
297,03: Literature review,"The process of identifying, within a large document collection, a subset of documents whose content is most relevant to user's need is called as",Information retrieval,Information management,Systematic Review,Narrative Review,A
298,03: Literature review,The query system in the information retrieval process of literature review is,User defined,Provider defined,Conditional,Not structured,A
299,03: Literature review,"In the National Library of Medicine (NLM), MeSH means",Medical Services Heading,Medical Subject Heading,Medical Subject Helpline,Medicine Services Helpline,B
300,03: Literature review,In literature review method of identifying studies which are unbiased and valid is known as critical appraisal.,TRUE,FALSE,,,A
301,03: Literature review,Choose the correct sequence of the steps of systematically doing literature search from below,"Organize the information, identify the lacunae, develop the research question, synthesize the results","Identify the lacunae, develop the research question, synthesize the results, organize the information","Develop the research question, synthesize the results, organize the information, identify the lacunae","Organize information, synthesize the results, identify the lacunae, develop the research question",D
302,03: Literature review,All the following about literature review is correct EXCEPT,It identifies lacunae in the existing knowledge about a topic,It saves valuable time for a researcher,It helps the researcher in arriving the conclusion of a study,It suggests the researcher about new research topics,C
303,03: Literature review,"While drafting a scientific manuscript, literature review is useful on the following section EXCEPT",Introduction,Methods,Results,Discussion,C
304,03: Literature review,Which of the following about PubMed is incorrect?,PubMed comprises more than 25 million citations for biomedical literature,Citations may include links to full-text article from PubMed Central,"PubMed is developed and maintained by the National Centre for Biotechnology Information (NCBI), at the U.S. National Library of Medicine (NLM)",PubMed is a paid service provider for searching of literature,D
305,03: Literature review,All the following are examples of databases,MEDLINE,EMBASE,CINAHL,Google scholar,"A,B,C,D ?"
306,03: Literature review,Literature searches are important to do at the start of a project; and do not need to continue throughout the project.,TRUE,FALSE,,,B
307,03: Literature review,Which of the following search query should be used to find the articles on chest pain other than angina?,Chest pain AND angina,Chest pain OR angina,Chest pain NOT angina,Chest pain EXCEPT angina,C
308,03: Literature review,"A researcher wants to assess effects of polyunsaturated fatty acids (PUFA) on diabetes prognosis. For this, the researcher searches related articles in PubMed and Google scholar. This process is known as",Information retrieval,Indexing,Critical appraisal,Data management,A
309,03: Literature review,Which of the following about MeSH is incorrect?,MeSH thesaurus is controlled vocabulary produced by the National Library of Medicine,It consists of sets of terms naming descriptors in a hierarchical structure that permits searching at various levels of specificity,It is used for indexing and searching of biomedical and health-related information,MeSH is used for EMBASE database,D
310,03: Literature review,Which of the following is INCORRECT about literature review for a proposed study?,Begins with a systematic literature search,Involves critical appraisal of retrieved studies,Presents existing knowledge concisely,Guides the findings of the proposed study,D
311,03: Literature review,A researcher conducts a review of literature to identify a set of potentially useful articles and books related to their research topic. This process is known as,Indexing,Critical appraisal,Data management,Information seeking,D
312,03: Literature review,Literature review is a well thought out and organized search for all literature published on a particular topic in a library or online database.,TRUE,FALSE,,,A
313,03: Literature review,Which of the following search query in PubMed will give relevant articles for the following question? “What is the burden of gastroenteritis among children?”,Gastroenteritis OR children,Gastroenteritis AND children,Gastroenteritis BUT children,Gastroenteritis NOT children,C
314,03: Literature review,Which of the following Boolean operator will give the highest number of results when used between two given search terms?,AND,NOT,OR,ALL,C
315,03: Literature review,A researcher wants to study the effect of physical activity on reduction of systolic blood pressure among patients with hypertension. The researcher has identified a subset of document which are most relevant to the research question within a large document collection. This process is known as,Information management,Critical appraisal,Information retrieval,Literature organization,C
316,03: Literature review,"The organized collection of articles, abstracts, scientific proceedings, books, and citations used for the purpose of literature review, is known as",Database,Data management,Critical appraisal,Index,A
317,03: Literature review,Which of the following does not satisfy the ethical principles in conducting a literature review?,Results of previous studies are presented without distortion,"Weaknesses of previous	studies are highlighted",Previous studies are accurately cited,Reputation of study authors are questioned,D
318,03: Literature review,For which of the following purpose is the Boolean operator ‘OR’ commonly used in literature search?,Connecting synonyms of one key concept,Connecting different key concepts,Connecting keywords which need to be excluded,Connecting keywords to narrow down the results,A
319,04: Measures of disease frequency,Which of the following must be considered while measuring occurrence of a disease?,The number of people affected by the disease,The population size from which the cases of disease arise,The length of the time the population is followed,All of the above,D
320,04: Measures of disease frequency,__________ is most useful for evaluating the impact of prevention programme,Point prevalence,Period prevalence,Case fatality,Incidence,D
321,04: Measures of disease frequency,Which one of the following statements is true?,High cure rate can increase the prevalence of a disease,Low case fatality can reduce the prevalence of a disease,Both 'a' and 'b' are true,High cure rate and high case fatality can reduce the prevalence of a disease,D
322,04: Measures of disease frequency,Measures of disease frequency,Incidence,Prevalence,Birth rate,a' and 'b',D
323,04: Measures of disease frequency,A measure that reflects severity of an acute infectious disease,Case fatality ratio,Incidence rate,Prevalence,Mortality rate,A
324,04: Measures of disease frequency,Incidence data can be used to measure the occurrence of disease with gradual onset,TRUE,FALSE,,,B
325,04: Measures of disease frequency,This measure reflects the impact of a disease on population in terms of death,Incidence density,Case fatality,Disease specific mortality,Attack rate,C
326,04: Measures of disease frequency,"While measuring the frequency of a chronic disease in a community in terms of Incidence per 1000 persons per year, and point prevalence per 1000 persons, what is the expected pattern of incidence and prevalence?","Low prevalence, high incidence","High prevalence, low incidence",Both prevalence and incidence will be similar,None of the above statements are true,B
327,04: Measures of disease frequency,"In a study among 3400 children aged 5-10 years, 16 children were diagnosed with autistic disorder. Calculate the prevalence of autism per 1000 children",4.01,5.53,3.35,4.71,D
328,04: Measures of disease frequency,Statistic used to estimate the risk of acquiring a disease,Prevalence,Incidence,Mortality rate,All of the above,B
329,04: Measures of disease frequency,What is the appropriate measure when a researcher wishes to know the burden of a particular disease in terms of the number of deaths it causes in a specified geographical region and population?,Incidence density,Case fatality,Attack rate,Disease specific mortality,D
330,04: Measures of disease frequency,"If health policy makers want to evaluate the impact of a prevention program, which is the appropriate measure to be considered?",Period prevalence,Incidence,Point prevalence,Case fatality,B
331,04: Measures of disease frequency,Select the correct statement among the following,Prevalence of a disease will increase when it has a high cure rate,Prevalence of a disease will decrease when it has a low case fatality ratio,Prevalence of a disease will increase when it has a low cure rate,Prevalence of a disease will increase when it is acute in nature,C
332,04: Measures of disease frequency,What is the appropriate epidemiologic measure to determine the severity of an acute disease?,Incidence rate,Prevalence,Mortality rate,Case fatality ratio,D
333,04: Measures of disease frequency,Cumulative incidence is otherwise known as,Attack rate,Case fatality rate,Mortality rate,Morbidity rate,A
334,04: Measures of disease frequency,The healthcare professionals working in an intensive care unit were asked whether there has been an increase in the number of new pneumonia cases. Which of the following factor(s) is inappropriate in the calculation of cumulative incidence?,Number of new cases of pneumonia during a specific period of time,Total number of people at risk of developing the disease in that population during the same period of time,Pre-existing cases of pneumonia,Both ‘a’ and ‘b’,C
335,04: Measures of disease frequency,"When measuring the frequency for an acute infectious disease in a community in terms of incidence per 1000 persons per year and point prevalence per 1000 persons, how will the pattern of incidence and prevalence be?",High prevalence,Low incidence,Both prevalence and incidence will be similar,Low prevalence and high incidence,D
336,04: Measures of disease frequency,"Among 25000 population in a city, 105 residents were identified with Hepatitis B infection. Calculate the prevalence of Hepatitis B per 1000 population.",5.2,4.2,3.2,2.2,B
337,04: Measures of disease frequency,Which of the following condition tends to increase the prevalence of a particular disease?,High cure rate,Low case fatality ratio,Short duration,Emigration of patients,B
338,04: Measures of disease frequency,Which of the following is true about incidence density?,Numerator has number of new cases,Also called cumulative incidence,Denominator is number of persons at risk,Numerator has person-years at risk,A
339,04: Measures of disease frequency,"In a rural block with 1,00,000 population, 250 residents were identified with cardiovascular disease. Calculate the prevalence of cardiovascular disease per 1000 population.",0.2,0.5,2.5,25,C
340,04: Measures of disease frequency,What is the appropriate epidemiologic measure to determine the burden of a disease in terms of number of cases present in a specified geographical area at a specific point in time?,Cumulative Incidence,Point Prevalence,Incidence rate,Case fatality ratio,B
341,04: Measures of disease frequency,"In a study, 300 children were followed up for a period of one year to determine the burden of acute respiratory infections (ARI). Calculate the incidence density if the total number of ARI episodes recorded was 1500.",5 episodes per child year,0.2 episodes per child year,3 episodes per child year,0.5 episodes per child year,A
342,04: Measures of disease frequency,"A total of 100 people with hypertension were followed up for 3 years to observe for the development of myocardial infarction in a cohort study. At the end of first year, 10 people developed myocardial infarction, at the end of second year, 10 people left the study and at the end of third year, another 10 people developed myocardial infarction. Calculate the total person-years of observation in this study?",250,260,270,280,C
343,04: Measures of disease frequency,"During a one-year follow-up, a psychiatrist determined the burden of suicidal ideation among 100 patients with drug addiction. Seven patients had previous history of suicidal ideation and 20 patients developed it for the first time. What is the incidence of suicidal ideation in the study population?",7% per year,20% per year,21.5% per year,27 per year,B
